"","date","nox","site","code"
"1",2009-01-01 00:00:00,NA,"Hull Freetown","HUL2"
"2",2009-01-01 01:00:00,48,"Hull Freetown","HUL2"
"3",2009-01-01 02:00:00,42,"Hull Freetown","HUL2"
"4",2009-01-01 03:00:00,38,"Hull Freetown","HUL2"
"5",2009-01-01 04:00:00,44,"Hull Freetown","HUL2"
"6",2009-01-01 05:00:00,44,"Hull Freetown","HUL2"
"7",2009-01-01 06:00:00,67,"Hull Freetown","HUL2"
"8",2009-01-01 07:00:00,67,"Hull Freetown","HUL2"
"9",2009-01-01 08:00:00,65,"Hull Freetown","HUL2"
"10",2009-01-01 09:00:00,69,"Hull Freetown","HUL2"
"11",2009-01-01 10:00:00,44,"Hull Freetown","HUL2"
"12",2009-01-01 11:00:00,40,"Hull Freetown","HUL2"
"13",2009-01-01 12:00:00,42,"Hull Freetown","HUL2"
"14",2009-01-01 13:00:00,46,"Hull Freetown","HUL2"
"15",2009-01-01 14:00:00,38,"Hull Freetown","HUL2"
"16",2009-01-01 15:00:00,42,"Hull Freetown","HUL2"
"17",2009-01-01 16:00:00,50,"Hull Freetown","HUL2"
"18",2009-01-01 17:00:00,50,"Hull Freetown","HUL2"
"19",2009-01-01 18:00:00,48,"Hull Freetown","HUL2"
"20",2009-01-01 19:00:00,52,"Hull Freetown","HUL2"
"21",2009-01-01 20:00:00,52,"Hull Freetown","HUL2"
"22",2009-01-01 21:00:00,44,"Hull Freetown","HUL2"
"23",2009-01-01 22:00:00,38,"Hull Freetown","HUL2"
"24",2009-01-01 23:00:00,32,"Hull Freetown","HUL2"
"25",2009-01-02 00:00:00,29,"Hull Freetown","HUL2"
"26",2009-01-02 01:00:00,23,"Hull Freetown","HUL2"
"27",2009-01-02 02:00:00,15,"Hull Freetown","HUL2"
"28",2009-01-02 03:00:00,13,"Hull Freetown","HUL2"
"29",2009-01-02 04:00:00,19,"Hull Freetown","HUL2"
"30",2009-01-02 05:00:00,21,"Hull Freetown","HUL2"
"31",2009-01-02 06:00:00,59,"Hull Freetown","HUL2"
"32",2009-01-02 07:00:00,52,"Hull Freetown","HUL2"
"33",2009-01-02 08:00:00,80,"Hull Freetown","HUL2"
"34",2009-01-02 09:00:00,92,"Hull Freetown","HUL2"
"35",2009-01-02 10:00:00,40,"Hull Freetown","HUL2"
"36",2009-01-02 11:00:00,42,"Hull Freetown","HUL2"
"37",2009-01-02 12:00:00,38,"Hull Freetown","HUL2"
"38",2009-01-02 13:00:00,73,"Hull Freetown","HUL2"
"39",2009-01-02 14:00:00,42,"Hull Freetown","HUL2"
"40",2009-01-02 15:00:00,40,"Hull Freetown","HUL2"
"41",2009-01-02 16:00:00,59,"Hull Freetown","HUL2"
"42",2009-01-02 17:00:00,42,"Hull Freetown","HUL2"
"43",2009-01-02 18:00:00,34,"Hull Freetown","HUL2"
"44",2009-01-02 19:00:00,61,"Hull Freetown","HUL2"
"45",2009-01-02 20:00:00,107,"Hull Freetown","HUL2"
"46",2009-01-02 21:00:00,130,"Hull Freetown","HUL2"
"47",2009-01-02 22:00:00,164,"Hull Freetown","HUL2"
"48",2009-01-02 23:00:00,80,"Hull Freetown","HUL2"
"49",2009-01-03 00:00:00,65,"Hull Freetown","HUL2"
"50",2009-01-03 01:00:00,50,"Hull Freetown","HUL2"
"51",2009-01-03 02:00:00,38,"Hull Freetown","HUL2"
"52",2009-01-03 03:00:00,38,"Hull Freetown","HUL2"
"53",2009-01-03 04:00:00,36,"Hull Freetown","HUL2"
"54",2009-01-03 05:00:00,59,"Hull Freetown","HUL2"
"55",2009-01-03 06:00:00,97,"Hull Freetown","HUL2"
"56",2009-01-03 07:00:00,153,"Hull Freetown","HUL2"
"57",2009-01-03 08:00:00,147,"Hull Freetown","HUL2"
"58",2009-01-03 09:00:00,74,"Hull Freetown","HUL2"
"59",2009-01-03 10:00:00,32,"Hull Freetown","HUL2"
"60",2009-01-03 11:00:00,29,"Hull Freetown","HUL2"
"61",2009-01-03 12:00:00,27,"Hull Freetown","HUL2"
"62",2009-01-03 13:00:00,21,"Hull Freetown","HUL2"
"63",2009-01-03 14:00:00,21,"Hull Freetown","HUL2"
"64",2009-01-03 15:00:00,32,"Hull Freetown","HUL2"
"65",2009-01-03 16:00:00,80,"Hull Freetown","HUL2"
"66",2009-01-03 17:00:00,84,"Hull Freetown","HUL2"
"67",2009-01-03 18:00:00,61,"Hull Freetown","HUL2"
"68",2009-01-03 19:00:00,53,"Hull Freetown","HUL2"
"69",2009-01-03 20:00:00,50,"Hull Freetown","HUL2"
"70",2009-01-03 21:00:00,27,"Hull Freetown","HUL2"
"71",2009-01-03 22:00:00,27,"Hull Freetown","HUL2"
"72",2009-01-03 23:00:00,40,"Hull Freetown","HUL2"
"73",2009-01-04 00:00:00,57,"Hull Freetown","HUL2"
"74",2009-01-04 01:00:00,53,"Hull Freetown","HUL2"
"75",2009-01-04 02:00:00,44,"Hull Freetown","HUL2"
"76",2009-01-04 03:00:00,27,"Hull Freetown","HUL2"
"77",2009-01-04 04:00:00,25,"Hull Freetown","HUL2"
"78",2009-01-04 05:00:00,25,"Hull Freetown","HUL2"
"79",2009-01-04 06:00:00,36,"Hull Freetown","HUL2"
"80",2009-01-04 07:00:00,36,"Hull Freetown","HUL2"
"81",2009-01-04 08:00:00,38,"Hull Freetown","HUL2"
"82",2009-01-04 09:00:00,48,"Hull Freetown","HUL2"
"83",2009-01-04 10:00:00,57,"Hull Freetown","HUL2"
"84",2009-01-04 11:00:00,59,"Hull Freetown","HUL2"
"85",2009-01-04 12:00:00,65,"Hull Freetown","HUL2"
"86",2009-01-04 13:00:00,55,"Hull Freetown","HUL2"
"87",2009-01-04 14:00:00,55,"Hull Freetown","HUL2"
"88",2009-01-04 15:00:00,71,"Hull Freetown","HUL2"
"89",2009-01-04 16:00:00,44,"Hull Freetown","HUL2"
"90",2009-01-04 17:00:00,53,"Hull Freetown","HUL2"
"91",2009-01-04 18:00:00,55,"Hull Freetown","HUL2"
"92",2009-01-04 19:00:00,44,"Hull Freetown","HUL2"
"93",2009-01-04 20:00:00,42,"Hull Freetown","HUL2"
"94",2009-01-04 21:00:00,32,"Hull Freetown","HUL2"
"95",2009-01-04 22:00:00,29,"Hull Freetown","HUL2"
"96",2009-01-04 23:00:00,25,"Hull Freetown","HUL2"
"97",2009-01-05 00:00:00,19,"Hull Freetown","HUL2"
"98",2009-01-05 01:00:00,17,"Hull Freetown","HUL2"
"99",2009-01-05 02:00:00,19,"Hull Freetown","HUL2"
"100",2009-01-05 03:00:00,15,"Hull Freetown","HUL2"
"101",2009-01-05 04:00:00,27,"Hull Freetown","HUL2"
"102",2009-01-05 05:00:00,13,"Hull Freetown","HUL2"
"103",2009-01-05 06:00:00,17,"Hull Freetown","HUL2"
"104",2009-01-05 07:00:00,53,"Hull Freetown","HUL2"
"105",2009-01-05 08:00:00,71,"Hull Freetown","HUL2"
"106",2009-01-05 09:00:00,78,"Hull Freetown","HUL2"
"107",2009-01-05 10:00:00,57,"Hull Freetown","HUL2"
"108",2009-01-05 11:00:00,59,"Hull Freetown","HUL2"
"109",2009-01-05 12:00:00,52,"Hull Freetown","HUL2"
"110",2009-01-05 13:00:00,55,"Hull Freetown","HUL2"
"111",2009-01-05 14:00:00,57,"Hull Freetown","HUL2"
"112",2009-01-05 15:00:00,65,"Hull Freetown","HUL2"
"113",2009-01-05 16:00:00,74,"Hull Freetown","HUL2"
"114",2009-01-05 17:00:00,61,"Hull Freetown","HUL2"
"115",2009-01-05 18:00:00,50,"Hull Freetown","HUL2"
"116",2009-01-05 19:00:00,38,"Hull Freetown","HUL2"
"117",2009-01-05 20:00:00,36,"Hull Freetown","HUL2"
"118",2009-01-05 21:00:00,36,"Hull Freetown","HUL2"
"119",2009-01-05 22:00:00,34,"Hull Freetown","HUL2"
"120",2009-01-05 23:00:00,29,"Hull Freetown","HUL2"
"121",2009-01-06 00:00:00,25,"Hull Freetown","HUL2"
"122",2009-01-06 01:00:00,27,"Hull Freetown","HUL2"
"123",2009-01-06 02:00:00,32,"Hull Freetown","HUL2"
"124",2009-01-06 03:00:00,32,"Hull Freetown","HUL2"
"125",2009-01-06 04:00:00,31,"Hull Freetown","HUL2"
"126",2009-01-06 05:00:00,46,"Hull Freetown","HUL2"
"127",2009-01-06 06:00:00,40,"Hull Freetown","HUL2"
"128",2009-01-06 07:00:00,124,"Hull Freetown","HUL2"
"129",2009-01-06 08:00:00,302,"Hull Freetown","HUL2"
"130",2009-01-06 09:00:00,359,"Hull Freetown","HUL2"
"131",2009-01-06 10:00:00,122,"Hull Freetown","HUL2"
"132",2009-01-06 11:00:00,38,"Hull Freetown","HUL2"
"133",2009-01-06 12:00:00,31,"Hull Freetown","HUL2"
"134",2009-01-06 13:00:00,55,"Hull Freetown","HUL2"
"135",2009-01-06 14:00:00,76,"Hull Freetown","HUL2"
"136",2009-01-06 15:00:00,105,"Hull Freetown","HUL2"
"137",2009-01-06 16:00:00,155,"Hull Freetown","HUL2"
"138",2009-01-06 17:00:00,118,"Hull Freetown","HUL2"
"139",2009-01-06 18:00:00,124,"Hull Freetown","HUL2"
"140",2009-01-06 19:00:00,122,"Hull Freetown","HUL2"
"141",2009-01-06 20:00:00,122,"Hull Freetown","HUL2"
"142",2009-01-06 21:00:00,94,"Hull Freetown","HUL2"
"143",2009-01-06 22:00:00,63,"Hull Freetown","HUL2"
"144",2009-01-06 23:00:00,40,"Hull Freetown","HUL2"
"145",2009-01-07 00:00:00,25,"Hull Freetown","HUL2"
"146",2009-01-07 01:00:00,19,"Hull Freetown","HUL2"
"147",2009-01-07 02:00:00,17,"Hull Freetown","HUL2"
"148",2009-01-07 03:00:00,13,"Hull Freetown","HUL2"
"149",2009-01-07 04:00:00,17,"Hull Freetown","HUL2"
"150",2009-01-07 05:00:00,21,"Hull Freetown","HUL2"
"151",2009-01-07 06:00:00,29,"Hull Freetown","HUL2"
"152",2009-01-07 07:00:00,94,"Hull Freetown","HUL2"
"153",2009-01-07 08:00:00,141,"Hull Freetown","HUL2"
"154",2009-01-07 09:00:00,84,"Hull Freetown","HUL2"
"155",2009-01-07 10:00:00,96,"Hull Freetown","HUL2"
"156",2009-01-07 11:00:00,103,"Hull Freetown","HUL2"
"157",2009-01-07 12:00:00,50,"Hull Freetown","HUL2"
"158",2009-01-07 13:00:00,53,"Hull Freetown","HUL2"
"159",2009-01-07 14:00:00,63,"Hull Freetown","HUL2"
"160",2009-01-07 15:00:00,128,"Hull Freetown","HUL2"
"161",2009-01-07 16:00:00,218,"Hull Freetown","HUL2"
"162",2009-01-07 17:00:00,210,"Hull Freetown","HUL2"
"163",2009-01-07 18:00:00,201,"Hull Freetown","HUL2"
